Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Domaine de Torraccia,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#TastingProvider|http://schema.org/LocalBusiness,41.680216,9.334491,Torraccia,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-03-10,#+33 4 95 71 43 50#torracciaoriu@wanadoo.fr#https://www.domaine-de-torraccia.com/,,"Amis rêveurs, le Domaine de Torraccia vous invite à une expérience gustative qui  vous fera découvrir, au travers de nos vins biologiques et notre huile d'olive, la grandeur du terroir Corse. Soyez nos complices. A votre santé! A a Saluta!",https://data.datatourisme.fr/13/5b2f4814-6a78-39ac-83f8-ecc5b0c0529e
Les écuries de l'Oso,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.666224,9.310963,Route de St Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-11-07,#+33 6 28 24 64 67#ecuriesdeloso@gmail.com#,,Centre équestre proposant des balades à cheval avec baignade pour les cavaliers confirmés et des balades maquis pour les débutants. Tour de poney tenu en main à partir de 3 ans. Label FFE.,https://data.datatourisme.fr/13/605fb407-f43c-337c-bd22-3505ec7520cf
Ranch'O Plage,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.620784,9.33265,Plage de Cala Rossa,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-30,#+33 4 95 71 62 67#ranchoplage@gmail.com#http://www.ranchoplage.com/,,"Un accueil chaleureux vous sera réservé pour un agréable moment à Cala Rossa. Installés sous les lentisques, au bord de mer avec pour seul horizon la mer et les reliefs, laissez vous conseiller et emporter par un service discret et attentionné.",https://data.datatourisme.fr/13/6a7f705c-2164-3b62-8578-fed40102c355
Complexe Galaxy,http://schema.org/MovieTheater|https://www.datatourisme.fr/ontology/core#Cinema|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#BowlingAlley,41.673547,9.299361,Mulinacciu,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-11-18,#+33 4 95 50 17 55#infos@complexe-galaxy.com#https://www.complexe-galaxy.com/,,"Le COMPLEXE GALAXY  c'est du Cinéma et des Loisirs pour tous !
4 salles de cinéma, un bowling de 10 pistes, un laser game de 400 m², un restaurant, une salle d'arcade, une salle de séminaire, et prochainement un parc de loisirs intérieur pour enfants.",https://data.datatourisme.fr/13/7c484ac7-cd4e-3161-98da-8776eda19b96
Corsica E Bike,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.680375,9.316603,Route de Capu,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-11-15,#+33 6 31 27 81 65#corsicaebike@gmail.com#https://www.corsicaebike.fr/,,"Venez découvrir la Corse autrement, dans le respect de la nature et sans effort grâce au vtt électrique.
Que vous soyez sportif confirmé ou que vous souhaitez simplement faire une sortie en famille, nous disposons d'une large gamme de vtt électriques.",https://data.datatourisme.fr/13/8035d525-7011-3019-a29d-5fb7ec52600e
La Plage Casadelmar,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.61615,9.318726,Presqu'île de Benedettu,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-14,#+33 4 95 71 02 30<>+33 4 95 71 02 31#info@laplagecasadelmar.fr#https://www.laplagecasadelmar.fr/la-plage-casadelmar-the-grill,,"La plage Casadelmar est avant tout une histoire de plage, un restaurant en bord de mer dans un écrin brut et préservé. Cuisine du marché, excellence des produits. Subtilités des saveurs méditerranéennes et authenticité.",https://data.datatourisme.fr/13/ab2d04d2-388b-3c86-add7-496ce92cb9a7
Saint Cyprien Jet,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.636329,9.347578,Parking mise à l'eau Plage de St Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-11-07,#+33 6 23 17 69 96#stcyprienjet2a@hotmail.fr#https://stcyprienjet.com/fr,,"Venez profiter d'une balade ou d'une initiation en jet-ski en Corse du Sud à Lecci dans la baie de SAN CIPRIANU. 
Encadrés par des moniteurs certifiés.",https://data.datatourisme.fr/13/b96e9529-a605-3e5b-8170-51dc5ee8eceb
Corsica Canyon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.804481,9.239986,Bavella D268,20122#Quenza,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-14,#+33 6 22 91 61 44#infos@corsicacanyon.com#https://www.canyoncorse.com/,,"Profitez des joies du canyoning dans les plus beaux canyons de Corse proche de Porto-Vecchio. Descente du torrent à pied, en sautant, glissant sur des toboggans, équipé d’une combinaison, casque, baudrier et accompagné d’un moniteur durant 3h ou 5h.",https://data.datatourisme.fr/13/c17edfc5-ad6a-35d6-9b6f-671c27cd56f5
Domaine Fior di Lecci,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#TastingProvider|http://schema.org/LocalBusiness,41.686586,9.320285,Foce di Tallano,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-03-15,#+33 4 95 71 43 52<>+33 6 03 35 53 37#scea-du-domaine-fior-di-lecci@orange.fr#http://www.fior-di-lecci.fr/,,"Le Domaine Fior di Lecci vous accueille tout au long de l'année et ce depuis maintenant plus de 50 ans. Un accueil convivial avec la possibilité de déguster tous nos vins blanc, rouge et rosé.",https://data.datatourisme.fr/13/da4797b5-fb68-37a4-8e79-89da925afbd4
Balanea,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.607562,8.888071,Route d'Algajola,20256#Corbara,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-07-13,#+33 4 95 60 11 77<>+33 6 88 94 12 16#contact@balanea.net#http://www.balanea.net/,,"Petit camping familial situé sur un terrain ombragé de chênes, d'eucalyptus, de saules et de mimosas, à 1 km à vole d'oiseau de la magnifique plage de sable fin d'Algajola. Très apprécié pour son ombrage et ses emplacements spacieux.",https://data.datatourisme.fr/13/b1228fbe-a44e-3b2a-b14c-afb3a41413b0
La Taillerie du Corail,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#CraftsmanShop|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.579451,9.274857,(sortie sud) 46 rue Maréchal Juin,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-03-13,#+33 4 95 70 21 21#corail.mrm@orange.fr#http://www.lataillerieducorail.com/,,Depuis 1975 nous fabriquons des bijoux en corail récolté par des plongeurs agréés respectueux de la réglementation.,https://data.datatourisme.fr/13/334d74e9-cdd5-3dc9-adc3-86a679ab0448
Domaine Pardini,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.621641,9.256057,Lieu dit Pardini Route de l'ospedale,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-08,#+33 6 32 44 90 25<>+33 6 81 56 55 68#domaine.pardini@gmail.com#https://www.domainepardini.com/,,"Vous êtes en quête de nature et de tranquillité ? Ne cherchez plus, vous êtes au bon endroit !
Au Domaine Pardini, chaque bergerie a son style. Décoration soignée et pierres brutes extérieures renforcent l'idée de passer un séjour unique.",https://data.datatourisme.fr/13/848eeff6-2fdd-37f8-9c2b-52b8e9758e75
Sous la Tonnelle,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.590634,9.278897,5 rue Abbatucci,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 95 72 09 96#souslatonnelle20137@gmail.com#https://www.souslatonnelle-portovecchio.fr/,,"Sous les tonnelles fleuries, du printemps à l'automne ou près du feu de cheminée en hiver... la passion, l'art de recevoir et les recettes se transmettent de mère en fille depuis trois générations, Le goût et l’authenticité règnent dans les assiettes !",https://data.datatourisme.fr/13/381ce536-a049-3d64-9d3a-0ec1e54d515f
Artillartigiani,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#CraftsmanShop|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.59,9.2782,Rue Renuccio della Rocca,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-06,#+33 6 13 86 29 47<>+33 6 21 96 28 13#christele.nicolas@orange.fr#,,"Venez découvrir notre boutique d'artisanat ! La coutellerie présente le travail de l'artisan coutelier Mickael Vuillien et d'autres artisans, poterie corse, bijoux, liège, etc...",https://data.datatourisme.fr/13/79c91462-6352-379b-9727-4242e7db5d1a
Playa Baggia,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.553976,9.318594,Plage de Palombaggia Lieu dit Tamaricciu,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-20,#+33 6 23 43 27 63##,,"Idéalement situé sur la plage de Palombaggia, Playa Baggia vous régalera tant par sa cuisine raffinée que par son cadre idyllique. Du petit-déjeuner au dîner installez-vous face à la mer et régalez-vous ! Soirée concert les vendredis soir (juillet/août).",https://data.datatourisme.fr/13/ed9e6663-5258-3804-95ad-05f72576586c
Résidence Hôtelière Alcyon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.593,9.2771,Rue du Stazzale,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-20,#+33 4 95 70 50 50#info@hotel-alcyon.com#https://residence-alcyon.com/,,"Résidence de 10 appartements et 8 chambres nichés au coeur de la cité. 
Au calme, dans un écrin de verdure, à 5 min à pied des commerces et de la vie nocturne. Service hôtelier assuré au quotidien.",https://data.datatourisme.fr/13/b53435cd-6bf7-314d-ac87-8077e72c3541
Cala Di Sole,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.637556,9.346176,68 Corsu Napoleoni San Ciprianu,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-06,#+33 4 95 71 66 74<>+33 6 20 59 44 99#contact@terrazzoni.com#http://www.caladisole-corse.com/,,"La Résidence Cala di Sole, près de Porto-Vecchio en Corse du Sud (Commune de Lecci), vous propose ses 8 charmants appartements joliment aménagés avec vue sur la mer ou/et sur le lac marin de Saint Cyprien.",https://data.datatourisme.fr/13/1e101471-7b01-3017-bb52-ec6c61737bc7
Salad'Bar,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.590076,9.277469,1 rue Jean Jaurès,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 20 57 27 14<>+33 6 25 67 30 98#romainhascoet@icloud.com#,,"Restaurant saladerie situé au centre de la haute ville de Porto-Vecchio. Composez votre salade selon vos goûts et vos envies, grâce à un large choix de produits frais. A consommer sur place, à emporter ou en livraison à domicile.",https://data.datatourisme.fr/13/4d3a7e36-f37f-3114-9fe2-fc741961a103
Nautic Aventures,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.389554,9.163903,Plage de Maora Port de Bonifacio (Quai Nord) Ile de Cavallo - Plage de Maora,20169#Bonifacio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 95 10 43 52<>+33 6 24 64 36 31#contact@nautic-aventures.com#http://www.nautic-aventures.com/,,"Location de bateaux et semi-rigides de 6 m à 16 m avec ou sans skipper professionnel. Les plus : nos trois bases : port de Bonifacio, île de Cavallo, Maora Beach. Flotte neuve et unités XXL. Seabob, paddle disponibles à la location en extra.",https://data.datatourisme.fr/13/6245130e-aa09-3763-a988-e09ae191ee25
Petralegna - Jardins du Golfe,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.57332,9.28991,Route de Palombaggia Les Jardins du Golfe,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-08,#+33 6 44 67 59 49<>+33 6 59 01 99 78<>+33 4 95 27 81 78#contact@petralegna.com#https://www.petralegna.com/,,"Profiter du calme et de la sérénité de PetraLegna situé au cœur d’une forêt de chênes-lièges, entre mer et montage. Tous les hébergements sont climatisés pour un séjour à proximité de Porto-Vecchio et des plus belles plages de Corse.",https://data.datatourisme.fr/13/2f673072-6570-393a-be62-75d2ba52b4e7
Domaine de Peretti della Rocca,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#TastingProvider|http://schema.org/LocalBusiness,41.531773,9.155482,Lieu-dit Pruno,20114#Figari,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-03-24,#+33 4 95 72 96 81<>+33 6 50 73 95 22#famidda.commercial@gmail.com<>contact@domainedeperettidellarocca.com<>manager@deperettidellarocca.com#https://www.deperettidellarocca.com/,,"Chaque cuvée offre son lot de surprises et nos vins rouges, rosés et blancs arborent des arômes subtiles, adulés des fins palais. Dégustez nos vins du domaine accompagnés d'une planche de charcuterie choisie chez nos producteurs locaux (sur réservation).",https://data.datatourisme.fr/13/4ab24785-6ab9-3e8d-a3aa-878b49a94d23
Domaine De Peretti della Rocca,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,41.531869,9.15531,Lieu dit Pruno,20114#Figari,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-06,#+33 4 95 72 96 81<>+33 6 49 52 68 84#contact@domainedeperettidellarocca.com<>manager@deperettidellarocca.com#https://www.deperettidellarocca.com/,,"Niché au cœur des coteaux de l'Extrême Sud Corse, le domaine Famidda de Peretti Della Rocca est un véritable havre de paix.
Vous séjournerez au cœur d’un domaine unique où se côtoient le reflet rougeoyant du plateau de Figari et les senteurs de la vigne.",https://data.datatourisme.fr/13/6687629b-7db5-3d29-9099-3437931e8c82
Résidence Bungalows du maquis,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.609152,9.195225,Lieu dit Pascialella de Muratello,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-06,#+33 4 95 70 04 51<>+33 6 26 37 08 98#info@bungalows-du-maquis.com#http://www.bungalows-du-maquis.com/,,"Pour des vacances au calme, loin de la masse et du tumulte, dans une ambiance familiale et conviviale à 11 km de Porto-Vecchio...
Résidence de tourisme avec piscine proposant des hébergements de constructions traditionnelles : studio, T2 ou T3",https://data.datatourisme.fr/13/e6b4ba76-4e79-3d7a-a7f6-0e900f14febb
